"phenotype","signed_partial_r2","full_p_adj","label","hemisphere"
"aparc_SurfArea_lh_bankssts",0.000221238180857619,0.460570988129389,"bankssts","L"
"aparc_SurfArea_lh_caudalanteriorcingulate",-0.000442119636654636,0.310246031856977,"caudalanteriorcingulate","L"
"aparc_SurfArea_lh_caudalmiddlefrontal",3.71801323135745e-05,0.98568572472356,"caudalmiddlefrontal","L"
"aparc_SurfArea_lh_cuneus",-0.00537792750480004,0.00093704341956613,"cuneus","L"
"aparc_SurfArea_lh_entorhinal",0.00151300564504164,0.0278640917681801,"entorhinal","L"
"aparc_SurfArea_lh_frontalpole",0.000335529403972634,0.313556072347365,"frontalpole","L"
"aparc_SurfArea_lh_fusiform",0.000645292807383235,0.164085283161961,"fusiform","L"
"aparc_SurfArea_lh_inferiorparietal",0.00256147409370766,0.0204173223556999,"inferiorparietal","L"
"aparc_SurfArea_lh_inferiortemporal",0.00173830838678446,0.020374110636878,"inferiortemporal","L"
"aparc_SurfArea_lh_insula",0.00465071792721106,8.247761063368e-05,"insula","L"
"aparc_SurfArea_lh_isthmuscingulate",0.00115711053406531,0.501685546380261,"isthmuscingulate","L"
"aparc_SurfArea_lh_lateraloccipital",-0.00243545272418255,0.0846033895290557,"lateraloccipital","L"
"aparc_SurfArea_lh_lateralorbitofrontal",-0.00803445104638967,4.72407112679374e-05,"lateralorbitofrontal","L"
"aparc_SurfArea_lh_lingual",-0.00233457359332856,0.141283646109318,"lingual","L"
"aparc_SurfArea_lh_medialorbitofrontal",0.00260328390686682,0.0204173223556999,"medialorbitofrontal","L"
"aparc_SurfArea_lh_middletemporal",0.00251940432144937,0.0188665467535023,"middletemporal","L"
"aparc_SurfArea_lh_paracentral",0.000703355414377937,0.430627481995175,"paracentral","L"
"aparc_SurfArea_lh_parahippocampal",0.000290229353604343,0.318567365409776,"parahippocampal","L"
"aparc_SurfArea_lh_parsopercularis",-6.56428467564751e-05,0.911750368920637,"parsopercularis","L"
"aparc_SurfArea_lh_parsorbitalis",0.00347263349614679,0.0168763388589416,"parsorbitalis","L"
"aparc_SurfArea_lh_parstriangularis",0.000614457666740509,0.549045948864513,"parstriangularis","L"
"aparc_SurfArea_lh_pericalcarine",0.00298088557044796,0.0421035329090201,"pericalcarine","L"
"aparc_SurfArea_lh_postcentral",0.00136676352048426,0.0421035329090201,"postcentral","L"
"aparc_SurfArea_lh_posteriorcingulate",0.000318515061940916,0.460570988129389,"posteriorcingulate","L"
"aparc_SurfArea_lh_precentral",5.52734815527645e-05,0.776355584514234,"precentral","L"
"aparc_SurfArea_lh_precuneus",0.000111819968623972,0.86361174964764,"precuneus","L"
"aparc_SurfArea_lh_rostralanteriorcingulate",7.48513767289127e-05,0.953356834336777,"rostralanteriorcingulate","L"
"aparc_SurfArea_lh_rostralmiddlefrontal",-0.00113090644374403,0.0421035329090201,"rostralmiddlefrontal","L"
"aparc_SurfArea_lh_superiorfrontal",-0.000257198136772607,0.720615493879334,"superiorfrontal","L"
"aparc_SurfArea_lh_superiorparietal",5.22358919214927e-05,0.86361174964764,"superiorparietal","L"
"aparc_SurfArea_lh_superiortemporal",-0.000853900359053639,0.0596378035762483,"superiortemporal","L"
"aparc_SurfArea_lh_supramarginal",0.00187340265352698,0.0188665467535023,"supramarginal","L"
"aparc_SurfArea_lh_temporalpole",-0.000661028241479067,0.318567365409776,"temporalpole","L"
"aparc_SurfArea_lh_transversetemporal",-0.000340310214877459,0.256398761872455,"transversetemporal","L"
"aparc_SurfArea_rh_bankssts",0.00125535689045797,0.0435022273895608,"bankssts","R"
"aparc_SurfArea_rh_caudalanteriorcingulate",-0.000535291419507367,0.60286337496919,"caudalanteriorcingulate","R"
"aparc_SurfArea_rh_caudalmiddlefrontal",-5.72814652266551e-07,0.923211016213565,"caudalmiddlefrontal","R"
"aparc_SurfArea_rh_cuneus",-0.00357743840862901,0.0188665467535023,"cuneus","R"
"aparc_SurfArea_rh_entorhinal",0.00191848488431945,0.0204173223556999,"entorhinal","R"
"aparc_SurfArea_rh_frontalpole",0.000280284585491897,0.318567365409776,"frontalpole","R"
"aparc_SurfArea_rh_fusiform",0.000716629424283521,0.460570988129389,"fusiform","R"
"aparc_SurfArea_rh_inferiorparietal",0.00153339484483039,0.0342655227076337,"inferiorparietal","R"
"aparc_SurfArea_rh_inferiortemporal",-0.000143942411800269,0.381430582397852,"inferiortemporal","R"
"aparc_SurfArea_rh_insula",0.00655555803731123,1.79222109948363e-05,"insula","R"
"aparc_SurfArea_rh_isthmuscingulate",0.00092689191325479,0.430627481995175,"isthmuscingulate","R"
"aparc_SurfArea_rh_lateraloccipital",-0.00556309049170134,0.00093704341956613,"lateraloccipital","R"
"aparc_SurfArea_rh_lateralorbitofrontal",-0.00373732052943665,0.0169761411283768,"lateralorbitofrontal","R"
