"phenotype","signed_partial_r2","full_p_adj","label","hemisphere"
"aparc_ThickAvg_lh_bankssts",0.00375412960878163,0.00774070977552825,"bankssts","L"
"aparc_ThickAvg_lh_caudalanteriorcingulate",-0.00163648805163619,0.0917477454948001,"caudalanteriorcingulate","L"
"aparc_ThickAvg_lh_caudalmiddlefrontal",0.00113118753609021,0.144012047013036,"caudalmiddlefrontal","L"
"aparc_ThickAvg_lh_cuneus",-0.00342459932001371,0.114600440275136,"cuneus","L"
"aparc_ThickAvg_lh_entorhinal",-0.0129054649396185,0,"entorhinal","L"
"aparc_ThickAvg_lh_frontalpole",-0.00161098982674246,0.0917477454948001,"frontalpole","L"
"aparc_ThickAvg_lh_fusiform",0.00302345304652407,0.330960402659901,"fusiform","L"
"aparc_ThickAvg_lh_inferiorparietal",0.00167512330847153,0.0840435988578939,"inferiorparietal","L"
"aparc_ThickAvg_lh_inferiortemporal",0.000984632460046542,0.35297708581763,"inferiortemporal","L"
"aparc_ThickAvg_lh_insula",0.000520045710256656,0.343096396217417,"insula","L"
"aparc_ThickAvg_lh_isthmuscingulate",-0.000268348077783087,0.8473987840348,"isthmuscingulate","L"
"aparc_ThickAvg_lh_lateraloccipital",-0.0046010807197705,0.00317455680668872,"lateraloccipital","L"
"aparc_ThickAvg_lh_lateralorbitofrontal",-0.000447820698854962,0.346791838018848,"lateralorbitofrontal","L"
"aparc_ThickAvg_lh_lingual",-0.000102729189178863,0.95117879724726,"lingual","L"
"aparc_ThickAvg_lh_medialorbitofrontal",-0.0110510822453517,5.19798819667757e-05,"medialorbitofrontal","L"
"aparc_ThickAvg_lh_middletemporal",0.00635600832403049,0.00774070977552825,"middletemporal","L"
"aparc_ThickAvg_lh_paracentral",-0.00010139872550341,0.689939772744801,"paracentral","L"
"aparc_ThickAvg_lh_parahippocampal",-0.00507183812189305,0.00217370774638917,"parahippocampal","L"
"aparc_ThickAvg_lh_parsopercularis",-6.94186253080709e-06,0.942865292863363,"parsopercularis","L"
"aparc_ThickAvg_lh_parsorbitalis",-0.00147261810348964,0.103828635541554,"parsorbitalis","L"
"aparc_ThickAvg_lh_parstriangularis",-0.000767878806017142,0.233567801790922,"parstriangularis","L"
"aparc_ThickAvg_lh_pericalcarine",-0.00770344926336419,0.000105825053960618,"pericalcarine","L"
"aparc_ThickAvg_lh_postcentral",0.00318414240031395,0.0160883781525161,"postcentral","L"
"aparc_ThickAvg_lh_posteriorcingulate",-0.00129242335458257,0.330960402659901,"posteriorcingulate","L"
"aparc_ThickAvg_lh_precentral",0.00696296366312199,0.000226659353085301,"precentral","L"
"aparc_ThickAvg_lh_precuneus",-0.00233423006649491,0.169946412079614,"precuneus","L"
"aparc_ThickAvg_lh_rostralanteriorcingulate",-0.00368227712573177,0.00806740291999734,"rostralanteriorcingulate","L"
"aparc_ThickAvg_lh_rostralmiddlefrontal",0.00194898297687474,0.31276374017966,"rostralmiddlefrontal","L"
"aparc_ThickAvg_lh_superiorfrontal",-0.00579013583965149,0.00087676650418563,"superiorfrontal","L"
"aparc_ThickAvg_lh_superiorparietal",-0.000613189624821486,0.258876536018856,"superiorparietal","L"
"aparc_ThickAvg_lh_superiortemporal",7.45736128893171e-06,0.942865292863363,"superiortemporal","L"
"aparc_ThickAvg_lh_supramarginal",0.000979160406447299,0.612279237513706,"supramarginal","L"
"aparc_ThickAvg_lh_temporalpole",-0.00771233137409322,0.00397620939862611,"temporalpole","L"
"aparc_ThickAvg_lh_transversetemporal",0.000320455807920283,0.503982334342738,"transversetemporal","L"
"aparc_ThickAvg_rh_bankssts",0.00211446520039804,0.120351488065912,"bankssts","R"
"aparc_ThickAvg_rh_caudalanteriorcingulate",-0.00342109489071407,0.018070151484584,"caudalanteriorcingulate","R"
"aparc_ThickAvg_rh_caudalmiddlefrontal",0.00255613222827611,0.0267681531774027,"caudalmiddlefrontal","R"
"aparc_ThickAvg_rh_cuneus",-0.00433646200991789,0.00368241204475487,"cuneus","R"
"aparc_ThickAvg_rh_entorhinal",-0.001454212942126,0.114600440275136,"entorhinal","R"
"aparc_ThickAvg_rh_frontalpole",-0.00519796566460451,0.0255850422562983,"frontalpole","R"
"aparc_ThickAvg_rh_fusiform",9.76783697851369e-05,0.8473987840348,"fusiform","R"
"aparc_ThickAvg_rh_inferiorparietal",7.53522089900205e-05,0.600009366390683,"inferiorparietal","R"
"aparc_ThickAvg_rh_inferiortemporal",0.000951123997958603,0.196985440212295,"inferiortemporal","R"
"aparc_ThickAvg_rh_insula",0.000289342905040457,0.516487596222864,"insula","R"
"aparc_ThickAvg_rh_isthmuscingulate",0.000503609519587833,0.346791838018848,"isthmuscingulate","R"
"aparc_ThickAvg_rh_lateraloccipital",-0.00273660101020956,0.196985440212295,"lateraloccipital","R"
"aparc_ThickAvg_rh_lateralorbitofrontal",7.02507943328712e-06,0.83682111516084,"lateralorbitofrontal","R"
"aparc_ThickAvg_rh_lingual",-2.67850906124911e-05,0.8473987840348,"lingual","R"
"aparc_ThickAvg_rh_medialorbitofrontal",0.0160125552004676,0,"medialorbitofrontal","R"
"aparc_ThickAvg_rh_middletemporal",0.00825863892148593,0.00116977249176618,"middletemporal","R"
"aparc_ThickAvg_rh_paracentral",-0.00106784553942152,0.169872335117287,"paracentral","R"
"aparc_ThickAvg_rh_parahippocampal",-0.000890552703984526,0.198523135196777,"parahippocampal","R"
"aparc_ThickAvg_rh_parsopercularis",-0.00280885901720396,0.0221356301809278,"parsopercularis","R"
"aparc_ThickAvg_rh_parsorbitalis",-0.00257050046474683,0.0263343879229963,"parsorbitalis","R"
"aparc_ThickAvg_rh_parstriangularis",0.00319305836919459,0.196985440212295,"parstriangularis","R"
"aparc_ThickAvg_rh_pericalcarine",-0.00119939023430526,0.144012047013036,"pericalcarine","R"
"aparc_ThickAvg_rh_postcentral",0.00259512925292371,0.0267681531774027,"postcentral","R"
"aparc_ThickAvg_rh_posteriorcingulate",-0.0011254535349674,0.169946412079614,"posteriorcingulate","R"
"aparc_ThickAvg_rh_precentral",0.00648410000468613,0.00368241204475487,"precentral","R"
"aparc_ThickAvg_rh_precuneus",-0.00111194820340033,0.18288867643461,"precuneus","R"
"aparc_ThickAvg_rh_rostralanteriorcingulate",-2.8380261839267e-05,0.8473987840348,"rostralanteriorcingulate","R"
"aparc_ThickAvg_rh_rostralmiddlefrontal",0.00155054443239355,0.503982334342738,"rostralmiddlefrontal","R"
"aparc_ThickAvg_rh_superiorfrontal",-0.005765763238604,0.0366296936320579,"superiorfrontal","R"
"aparc_ThickAvg_rh_superiorparietal",-0.00446071376186752,0.030375047847235,"superiorparietal","R"
"aparc_ThickAvg_rh_superiortemporal",0.000849112502612992,0.553991339989335,"superiortemporal","R"
"aparc_ThickAvg_rh_supramarginal",-0.00455563841929829,0.14529189920449,"supramarginal","R"
"aparc_ThickAvg_rh_temporalpole",-0.00153110064650563,0.28456653127931,"temporalpole","R"
"aparc_ThickAvg_rh_transversetemporal",0.00443655895562634,0.00368241204475487,"transversetemporal","R"
