"phenotype","signed_partial_r2","full_p_adj","label","hemisphere"
"aparc_GrayVol_lh_bankssts",0.00134220779739336,0.203953325799461,"bankssts","L"
"aparc_GrayVol_lh_caudalanteriorcingulate",-0.000132693626954783,0.614253527386316,"caudalanteriorcingulate","L"
"aparc_GrayVol_lh_caudalmiddlefrontal",3.82241410238349e-05,0.973227007296858,"caudalmiddlefrontal","L"
"aparc_GrayVol_lh_cuneus",-0.00499722244233836,0.00269748075799802,"cuneus","L"
"aparc_GrayVol_lh_entorhinal",4.43998814381175e-07,0.86511828298172,"entorhinal","L"
"aparc_GrayVol_lh_frontalpole",0.000463460311239561,0.239840104078307,"frontalpole","L"
"aparc_GrayVol_lh_fusiform",0.00143457962476667,0.0298566586721466,"fusiform","L"
"aparc_GrayVol_lh_inferiorparietal",0.00468706647511363,5.71964968397546e-05,"inferiorparietal","L"
"aparc_GrayVol_lh_inferiortemporal",0.00272764523133162,0.0036890339826228,"inferiortemporal","L"
"aparc_GrayVol_lh_insula",0.00152631257242997,0.0273875551538005,"insula","L"
"aparc_GrayVol_lh_isthmuscingulate",-6.21277898649186e-05,0.750141708873968,"isthmuscingulate","L"
"aparc_GrayVol_lh_lateraloccipital",-0.00141668172752318,0.0953519054923328,"lateraloccipital","L"
"aparc_GrayVol_lh_lateralorbitofrontal",-0.0073694656104949,0.000110267879582854,"lateralorbitofrontal","L"
"aparc_GrayVol_lh_lingual",-0.000395638680951271,0.700909309452755,"lingual","L"
"aparc_GrayVol_lh_medialorbitofrontal",4.44783078407118e-05,0.921380143497518,"medialorbitofrontal","L"
"aparc_GrayVol_lh_middletemporal",0.00741050032220036,1.63764627099661e-05,"middletemporal","L"
"aparc_GrayVol_lh_paracentral",4.39794463826804e-05,0.8963761885786,"paracentral","L"
"aparc_GrayVol_lh_parahippocampal",-0.00407673724580793,0.00462078523872669,"parahippocampal","L"
"aparc_GrayVol_lh_parsopercularis",4.91053628970395e-05,0.750141708873968,"parsopercularis","L"
"aparc_GrayVol_lh_parsorbitalis",0.00392562065954116,0.00675737337710874,"parsorbitalis","L"
"aparc_GrayVol_lh_parstriangularis",-0.000107018874145437,0.851678384919049,"parstriangularis","L"
"aparc_GrayVol_lh_pericalcarine",-0.00183779704594789,0.122223211737631,"pericalcarine","L"
"aparc_GrayVol_lh_postcentral",0.00224504022599115,0.00800717109346588,"postcentral","L"
"aparc_GrayVol_lh_posteriorcingulate",0.000446718533967494,0.294737905352448,"posteriorcingulate","L"
"aparc_GrayVol_lh_precentral",0.000153286672237463,0.605911870460502,"precentral","L"
"aparc_GrayVol_lh_precuneus",0.000784858360054597,0.46964562536675,"precuneus","L"
"aparc_GrayVol_lh_rostralanteriorcingulate",0.00243353053562056,0.367919788548865,"rostralanteriorcingulate","L"
