"","bw_beta","bw_p","bw_se","label","bw_p_adj","hemisphere"
"smri_vol_cdk_banksstslh.t1_centiles",0.0261832181477626,0.000241673314335645,0.00713008186483366,"bankssts",0.000755229107298891,"L"
"smri_vol_cdk_banksstsrh.t1_centiles",0.0245122413126996,0.000349303170234883,0.00685294700879575,"bankssts",0.00099800905781395,"R"
"smri_vol_cdk_cdacatelh.t1_centiles",-0.000896109711217735,0.901198819226557,0.00721795117484332,"caudalanteriorcingulate",0.938748770027664,"L"
"smri_vol_cdk_cdacaterh.t1_centiles",-0.00662327135905818,0.362991369420566,0.00728055809328276,"caudalanteriorcingulate",0.422082987698332,"R"
"smri_vol_cdk_cdmdfrlh.t1_centiles",-0.000453260927482075,0.945908788775526,0.00668063827178792,"caudalmiddlefrontal",0.965213049770945,"L"
"smri_vol_cdk_cdmdfrrh.t1_centiles",-0.00184321823952924,0.784560590146267,0.00674213688353413,"caudalmiddlefrontal",0.825853252785544,"R"
"smri_vol_cdk_cuneuslh.t1_centiles",-0.0329925994552917,5.14361044800567e-06,0.00723322199065111,"cuneus",3.02565320470922e-05,"L"
"smri_vol_cdk_cuneusrh.t1_centiles",-0.0283870898152944,6.63456840333574e-05,0.00711337324677689,"cuneus",0.000276440350138989,"R"
"smri_vol_cdk_ehinallh.t1_centiles",0.00782268779516275,0.286267408148224,0.00733559621028356,"entorhinal",0.353416553269413,"L"
"smri_vol_cdk_ehinalrh.t1_centiles",-0.00471869803617187,0.528638516876081,0.00748872379597865,"entorhinal",0.580921447116573,"R"
"smri_vol_cdk_frpolelh.t1_centiles",-0.0109298187405958,0.133413082059291,0.00728219430083093,"frontalpole",0.185295947304571,"L"
"smri_vol_cdk_frpolerh.t1_centiles",-0.0226717022560368,0.00209524504631082,0.00736770811304318,"frontalpole",0.00495049948254564,"R"
"smri_vol_cdk_fusiformlh.t1_centiles",0.00276702618338866,0.653066879113981,0.00615552852303014,"fusiform",0.702222450660195,"L"
"smri_vol_cdk_fusiformrh.t1_centiles",6.70190484100252e-05,0.991130239738944,0.00602846759708431,"fusiform",0.991130239738944,"R"
"smri_vol_cdk_ifpllh.t1_centiles",0.0446406468292121,1.257896361678e-11,0.00658306991067898,"inferiorparietal",2.09649393612999e-10,"L"
"smri_vol_cdk_ifplrh.t1_centiles",0.0403763614418418,2.09403488978923e-10,0.00634780637336344,"inferiorparietal",2.99147841398461e-09,"R"
"smri_vol_cdk_iftmlh.t1_centiles",0.0231447281216742,0.000158536641547773,0.00612504328396145,"inferiortemporal",0.000528455471825908,"L"
"smri_vol_cdk_iftmrh.t1_centiles",-0.00564744069556092,0.354010977160956,0.00609296257007578,"inferiortemporal",0.416483502542301,"R"
"smri_vol_cdk_ihcatelh.t1_centiles",0.00644338609200826,0.330490022481097,0.00662100515318235,"isthmuscingulate",0.398180749977226,"L"
"smri_vol_cdk_ihcaterh.t1_centiles",0.0232055031640855,0.000669991490660971,0.00681990606832307,"isthmuscingulate",0.00181078781259722,"R"
"smri_vol_cdk_insulalh.t1_centiles",0.0347839050561008,1.00287825415208e-08,0.00606524047024276,"insula",1.11430917128009e-07,"L"
"smri_vol_cdk_insularh.t1_centiles",0.031492417037519,4.67275172621436e-07,0.00624537221693315,"insula",3.11516781747624e-06,"R"
"smri_vol_cdk_linguallh.t1_centiles",-0.01759408444379,0.0103350209593051,0.00685959597864727,"lingual",0.0195000395458587,"L"
"smri_vol_cdk_lingualrh.t1_centiles",-0.00859353903930981,0.204800026814923,0.00677684033684202,"lingual",0.262564136942209,"R"
"smri_vol_cdk_lobfrlh.t1_centiles",0.0301143396136974,6.41132946307329e-08,0.00556548533717976,"lateralorbitofrontal",5.82848133006663e-07,"L"
"smri_vol_cdk_lobfrrh.t1_centiles",0.0297462675939888,1.61905852561078e-07,0.00567449095765132,"lateralorbitofrontal",1.34921543800898e-06,"R"
