"","ga_beta","ga_p","ga_se","label","ga_p_adj","hemisphere"
"smri_vol_cdk_banksstslh.t1_centiles",0.0445651743145637,5.31135425925113e-06,0.00978504939183679,"bankssts",2.41425193602324e-05,"L"
"smri_vol_cdk_banksstsrh.t1_centiles",0.0599973885100047,7.38040891684704e-10,0.00973457791720542,"bankssts",7.49808072149821e-09,"R"
"smri_vol_cdk_cdacatelh.t1_centiles",0.00185767572812624,0.848219997363696,0.00970599261603422,"caudalanteriorcingulate",0.865530609554792,"L"
"smri_vol_cdk_cdacaterh.t1_centiles",0.00567642365040289,0.559923181810618,0.00973701156393409,"caudalanteriorcingulate",0.602067937430772,"R"
"smri_vol_cdk_cdmdfrlh.t1_centiles",0.0349711474383625,0.00032535009933312,0.00972662605971497,"caudalmiddlefrontal",0.000929571712380344,"L"
"smri_vol_cdk_cdmdfrrh.t1_centiles",0.0321189524579949,0.000989583800705988,0.00974960359807261,"caudalmiddlefrontal",0.00224905409251361,"R"
"smri_vol_cdk_cuneuslh.t1_centiles",-0.000663984212812662,0.945579448287222,0.00972719249329072,"cuneus",0.945579448287222,"L"
"smri_vol_cdk_cuneusrh.t1_centiles",-0.00422252269819359,0.666143929575473,0.00978663144635117,"cuneus",0.708663754867524,"R"
"smri_vol_cdk_ehinallh.t1_centiles",-0.00748270887039757,0.43989245098376,0.00968756192196287,"entorhinal",0.478143968460608,"L"
"smri_vol_cdk_ehinalrh.t1_centiles",-0.0196579890711328,0.0443018681798144,0.00977299028791965,"entorhinal",0.0661221913131559,"R"
"smri_vol_cdk_frpolelh.t1_centiles",0.00262946889468418,0.786557858958017,0.00971036524569918,"frontalpole",0.819331103081268,"L"
"smri_vol_cdk_frpolerh.t1_centiles",-0.00140272105659626,0.885794022365494,0.00976609694549054,"frontalpole",0.894741436732823,"R"
"smri_vol_cdk_fusiformlh.t1_centiles",0.028752708621454,0.00301693767071483,0.00969185611228143,"fusiform",0.00615701565452006,"L"
"smri_vol_cdk_fusiformrh.t1_centiles",0.0346940699802016,0.000336595932715128,0.00967341663491437,"fusiform",0.000934988701986466,"R"
"smri_vol_cdk_ifpllh.t1_centiles",0.0682187578416199,2.39874994671305e-12,0.0097214756039708,"inferiorparietal",4.79749989342611e-11,"L"
"smri_vol_cdk_ifplrh.t1_centiles",0.0598830618619959,7.49808072149821e-10,0.00971999168033017,"inferiorparietal",7.49808072149821e-09,"R"
"smri_vol_cdk_iftmlh.t1_centiles",0.0181652968767214,0.0612013899606237,0.00970246524270761,"inferiortemporal",0.0874305570866053,"L"
"smri_vol_cdk_iftmrh.t1_centiles",0.00289998339409574,0.765140543603431,0.00970722451396369,"inferiortemporal",0.805411098529927,"R"
"smri_vol_cdk_ihcatelh.t1_centiles",0.0340998905338551,0.000433064316573556,0.00968699509893468,"isthmuscingulate",0.00111042132454758,"L"
"smri_vol_cdk_ihcaterh.t1_centiles",0.0647669686136103,2.26225142525514e-11,0.00967367183853073,"isthmuscingulate",3.7704190420919e-10,"R"
"smri_vol_cdk_insulalh.t1_centiles",0.0617511038906657,2.1085174829346e-10,0.00971023817281401,"insula",2.79978662309426e-09,"L"
"smri_vol_cdk_insularh.t1_centiles",0.0523954054059037,7.86443792858797e-08,0.00974985715706648,"insula",5.24295861905865e-07,"R"
"smri_vol_cdk_linguallh.t1_centiles",0.0245149687201182,0.0113773124955073,0.00968461895829495,"lingual",0.0196160560267367,"L"
"smri_vol_cdk_lingualrh.t1_centiles",0.0151868694744137,0.114519672669535,0.00962211890198699,"lingual",0.148726847622772,"R"
"smri_vol_cdk_lobfrlh.t1_centiles",0.0428889650099201,1.02724440358647e-05,0.00971773730447405,"lateralorbitofrontal",4.46628001559337e-05,"L"
"smri_vol_cdk_lobfrrh.t1_centiles",0.0527265172759978,5.88122387199566e-08,0.00971695556613306,"lateralorbitofrontal",4.20087419428261e-07,"R"
"smri_vol_cdk_locclh.t1_centiles",-0.0110651255644718,0.254463364284303,0.00970934685425481,"lateraloccipital",0.291318407142174,"L"
"smri_vol_cdk_loccrh.t1_centiles",-0.0160154216508088,0.0997238266215042,0.00972791194654268,"lateraloccipital",0.132965102162006,"R"
"smri_vol_cdk_mdtmlh.t1_centiles",0.0760918319413696,4.76570236364154e-15,0.00970014886477484,"middletemporal",1.58856745454718e-13,"L"
"smri_vol_cdk_mdtmrh.t1_centiles",0.0860615637752647,7.78490198532083e-19,0.00969205767883689,"middletemporal",7.78490198532083e-17,"R"
"smri_vol_cdk_mobfrlh.t1_centiles",0.0144454941911954,0.135996222041356,0.0096885884252494,"medialorbitofrontal",0.172147116508046,"L"
"smri_vol_cdk_mobfrrh.t1_centiles",0.0169468767600115,0.0799126917799486,0.00967641142073985,"medialorbitofrontal",0.10946944079445,"R"
"smri_vol_cdk_paracnlh.t1_centiles",0.0225884049642398,0.0194916146428661,0.00966826134583647,"paracentral",0.0319534666276493,"L"
"smri_vol_cdk_paracnrh.t1_centiles",0.0258504275533245,0.00791072676390207,0.00973153178585793,"paracentral",0.0141262977926823,"R"
"smri_vol_cdk_parahpallh.t1_centiles",-0.0126725188473364,0.191169450905204,0.00969432291348976,"parahippocampal",0.230324639644824,"L"
"smri_vol_cdk_parahpalrh.t1_centiles",0.0218999623981702,0.0247793518368206,0.00975437389343085,"parahippocampal",0.0387177372450322,"R"
"smri_vol_cdk_parsobislh.t1_centiles",0.0362947573447386,0.000197064422796807,0.00974605475388985,"parsorbitalis",0.00057960124352002,"L"
"smri_vol_cdk_parsobisrh.t1_centiles",0.0381491155375794,8.16356569624631e-05,0.00967988405634601,"parsorbitalis",0.000278150942498837,"R"
"smri_vol_cdk_parsopclh.t1_centiles",0.0316858058589654,0.00109252437150133,0.00970040851141297,"parsopercularis",0.00237505298152464,"L"
"smri_vol_cdk_parsopcrh.t1_centiles",0.0274669334492148,0.00454495757095545,0.00967747490796722,"parsopercularis",0.00891168151167735,"R"
"smri_vol_cdk_parstgrislh.t1_centiles",0.0553399574405382,1.30349659609804e-08,0.00972574806952277,"parstriangularis",1.08624716341504e-07,"L"
"smri_vol_cdk_parstgrisrh.t1_centiles",0.0619068652319684,2.23982929847541e-10,0.00974902273294753,"parstriangularis",2.79978662309426e-09,"R"
"smri_vol_cdk_pclh.t1_centiles",0.0308007976973214,0.00147630768141014,0.00968539520786539,"precuneus",0.00314108017321307,"L"
"smri_vol_cdk_pcrh.t1_centiles",0.0221394194067433,0.0220000017921172,0.00966490212217715,"precuneus",0.0349206377652653,"R"
"smri_vol_cdk_pericclh.t1_centiles",-0.0144508365759995,0.135127245306801,0.00967065094899848,"pericalcarine",0.172147116508046,"L"
"smri_vol_cdk_periccrh.t1_centiles",-0.01540689283795,0.111067976856726,0.00966832416420042,"pericalcarine",0.146142074811482,"R"
"smri_vol_cdk_postcnlh.t1_centiles",0.0467714229018522,1.27166124869594e-06,0.00964974173499641,"postcentral",7.4803602864467e-06,"L"
"smri_vol_cdk_postcnrh.t1_centiles",0.0407510908970399,2.51644181071539e-05,0.00966771950864794,"postcentral",9.67862234890534e-05,"R"
"smri_vol_cdk_precnlh.t1_centiles",0.0268810035531254,0.00572080438368881,0.00972565243733077,"precentral",0.0110015468917092,"L"
"smri_vol_cdk_ptcatelh.t1_centiles",0.0292025052154077,0.00254442727522246,0.0096737975713801,"posteriorcingulate",0.00530089015671346,"L"
"smri_vol_cdk_ptcaterh.t1_centiles",0.0327508813443641,0.000765120157180626,0.00972966391852792,"posteriorcingulate",0.00177934920274564,"R"
"smri_vol_cdk_rracatelh.t1_centiles",0.0442115248375171,5.28421357932648e-06,0.00970510028902568,"rostralanteriorcingulate",2.41425193602324e-05,"L"
"smri_vol_cdk_rracaterh.t1_centiles",0.0423291204211475,1.42137984244313e-05,0.00974752654212807,"rostralanteriorcingulate",5.92241601017969e-05,"R"
"smri_vol_cdk_rrmdfrlh.t1_centiles",0.0231851976871318,0.0169365194065036,0.00970718304528429,"rostralmiddlefrontal",0.0287059650957687,"L"
"smri_vol_cdk_rrmdfrrh.t1_centiles",0.036384439536015,0.000187050952800535,0.00973574596687267,"rostralmiddlefrontal",0.000566821069092531,"R"
"smri_vol_cdk_smlh.t1_centiles",0.0345039369019392,0.000393463234556796,0.00973160123114921,"supramarginal",0.00103542956462315,"L"
"smri_vol_cdk_smrh.t1_centiles",0.0509453900441263,1.42869272658012e-07,0.00967613347607193,"supramarginal",8.92932954112574e-07,"R"
"smri_vol_cdk_sufrlh.t1_centiles",0.0364283583804523,0.000174182194122001,0.00970099654947308,"superiorfrontal",0.000544319356631253,"L"
"smri_vol_cdk_sufrrh.t1_centiles",0.033419862129817,0.000600867971440515,0.00973701562146609,"superiorfrontal",0.00143063802723932,"R"
"smri_vol_cdk_supllh.t1_centiles",0.038955902662935,5.42189402623013e-05,0.00964663438331004,"superiorparietal",0.000193639072365362,"L"
"smri_vol_cdk_suplrh.t1_centiles",0.0440763626997101,4.85749882750973e-06,0.00963798106192164,"superiorparietal",2.41425193602324e-05,"R"
"smri_vol_cdk_sutmlh.t1_centiles",0.0130842119435402,0.176065385964659,0.0096700960059071,"superiortemporal",0.214713885322755,"L"
"smri_vol_cdk_sutmrh.t1_centiles",0.0122178404385048,0.209605300674795,0.00973744815028833,"superiortemporal",0.243727093807901,"R"
"smri_vol_cdk_tmpolelh.t1_centiles",-0.0103561122554039,0.287443195453322,0.00973501449559677,"temporalpole",0.322969882531823,"L"
"smri_vol_cdk_tmpolerh.t1_centiles",-0.0202434014330211,0.0374280277126405,0.0097262131185022,"temporalpole",0.0567091328979401,"R"
