"","ga_beta","ga_p","ga_se","label","ga_p_adj","hemisphere"
"smri_vol_cdk_banksstslh.t2_centiles",0.0281296224916217,0.00942591760899399,0.0108319670280146,"bankssts",0.0325031641689448,"L"
"smri_vol_cdk_banksstsrh.t2_centiles",0.0430339668057112,3.37387999669402e-05,0.010371447324458,"bankssts",0.00030671636333582,"R"
"smri_vol_cdk_cdacatelh.t2_centiles",-0.0100450573059745,0.360004387646793,0.0109732232120133,"caudalanteriorcingulate",0.514291982352562,"L"
"smri_vol_cdk_cdacaterh.t2_centiles",-0.0173113922490316,0.116807681921644,0.0110368812546428,"caudalanteriorcingulate",0.243349337336759,"R"
"smri_vol_cdk_cdmdfrlh.t2_centiles",0.0100194072757746,0.31935706853424,0.0100611701359716,"caudalmiddlefrontal",0.483874346264,"L"
"smri_vol_cdk_cdmdfrrh.t2_centiles",0.0123466128103846,0.223129948110173,0.0101338553352311,"caudalmiddlefrontal",0.37200731924304,"R"
"smri_vol_cdk_cuneuslh.t2_centiles",-0.0150625804028467,0.171207860347166,0.0110068761658412,"cuneus",0.305728322048511,"L"
"smri_vol_cdk_cuneusrh.t2_centiles",-0.0292640149814926,0.00671798438215043,0.0107933564615138,"cuneus",0.0248814236375942,"R"
"smri_vol_cdk_ehinallh.t2_centiles",-0.026729902436395,0.0169917180723968,0.0111960317891191,"entorhinal",0.050799447823528,"L"
"smri_vol_cdk_ehinalrh.t2_centiles",-0.0399159529030332,0.000400489791350711,0.0112711360346208,"entorhinal",0.002107841007109,"R"
"smri_vol_cdk_frpolelh.t2_centiles",-0.0158517608445719,0.148216472148895,0.0109623704098753,"frontalpole",0.279653721035652,"L"
"smri_vol_cdk_frpolerh.t2_centiles",-0.0175872172671943,0.10875770984358,0.0109645874858203,"frontalpole",0.231399382645916,"R"
"smri_vol_cdk_fusiformlh.t2_centiles",0.00780310354651798,0.40021274540807,0.00927514926075936,"fusiform",0.54082803433523,"L"
"smri_vol_cdk_fusiformrh.t2_centiles",0.0126257807054092,0.164877385803799,0.00908986726650375,"fusiform",0.299777065097816,"R"
"smri_vol_cdk_ifpllh.t2_centiles",0.0509848927323447,3.75192224006821e-07,0.0100247799789547,"inferiorparietal",1.2506407466894e-05,"L"
"smri_vol_cdk_ifplrh.t2_centiles",0.0428438045196785,7.43440932923607e-06,0.0095544957325656,"inferiorparietal",0.000106205847560515,"R"
"smri_vol_cdk_iftmlh.t2_centiles",2.68019127336499e-05,0.997694914251829,0.00927690308951959,"inferiortemporal",0.999779759439545,"L"
"smri_vol_cdk_iftmrh.t2_centiles",-0.016456184031249,0.0757368726048931,0.00926465266612351,"inferiortemporal",0.168304161344207,"R"
"smri_vol_cdk_ihcatelh.t2_centiles",0.00662986449131057,0.512232518740736,0.010115782770467,"isthmuscingulate",0.617147612940645,"L"
"smri_vol_cdk_ihcaterh.t2_centiles",0.0351133333630905,0.00065214044856842,0.0102958126781803,"isthmuscingulate",0.00310543070746867,"R"
"smri_vol_cdk_insulalh.t2_centiles",0.0434672658311352,1.92645834036785e-06,0.00912234792563076,"insula",4.54987028917594e-05,"L"
"smri_vol_cdk_insularh.t2_centiles",0.037733465021264,5.15765709651505e-05,0.00931501657085813,"insula",0.000429804758042921,"R"
