"phenotype","r2_full_vs_none","full_p_adj","label","hemisphere"
"aparc_SurfArea_lh_bankssts",0.00313162867946915,0.00182044653009113,"bankssts","L"
"aparc_SurfArea_lh_caudalanteriorcingulate",0.00187186849005583,0.0372372018653336,"caudalanteriorcingulate","L"
"aparc_SurfArea_lh_caudalmiddlefrontal",0.00130446296504305,0.191664673539878,"caudalmiddlefrontal","L"
"aparc_SurfArea_lh_cuneus",-6.91339155034498e-06,0.494033482741217,"cuneus","L"
"aparc_SurfArea_lh_entorhinal",0.00141734843655061,0.15546987618825,"entorhinal","L"
"aparc_SurfArea_lh_frontalpole",0.00376717865552623,0.000580605387309641,"frontalpole","L"
"aparc_SurfArea_lh_fusiform",0.00394986115670581,1.34578837529049e-05,"fusiform","L"
"aparc_SurfArea_lh_inferiorparietal",0.00407684315930779,1.1932595084363e-05,"inferiorparietal","L"
"aparc_SurfArea_lh_inferiortemporal",0.00223460840879464,0.0403954861867605,"inferiortemporal","L"
"aparc_SurfArea_lh_insula",0.00336611439964452,0.00125836458376634,"insula","L"
"aparc_SurfArea_lh_isthmuscingulate",0.00123138517179533,0.125700196951124,"isthmuscingulate","L"
"aparc_SurfArea_lh_lateraloccipital",0.00123415150731043,0.191664673539878,"lateraloccipital","L"
"aparc_SurfArea_lh_lateralorbitofrontal",0.00270823706632339,0.0157322326484578,"lateralorbitofrontal","L"
"aparc_SurfArea_lh_lingual",0.000183776935306135,0.380885141362794,"lingual","L"
"aparc_SurfArea_lh_medialorbitofrontal",0.00189730356353679,0.0768180662231254,"medialorbitofrontal","L"
"aparc_SurfArea_lh_middletemporal",0.00230528550052345,0.000663776178710429,"middletemporal","L"
"aparc_SurfArea_lh_paracentral",0.00104172121906976,0.0329201096250051,"paracentral","L"
"aparc_SurfArea_lh_parahippocampal",0.000398647448599854,0.490420930816383,"parahippocampal","L"
"aparc_SurfArea_lh_parsopercularis",0.000532163556440257,0.497613868979751,"parsopercularis","L"
"aparc_SurfArea_lh_parsorbitalis",0.00368929714505117,0.000870962082480266,"parsorbitalis","L"
"aparc_SurfArea_lh_parstriangularis",0.00568636863112559,0.000240186010331949,"parstriangularis","L"
"aparc_SurfArea_lh_pericalcarine",0.000865403297165113,0.041621745706374,"pericalcarine","L"
"aparc_SurfArea_lh_postcentral",5.44953195968922e-05,0.697928500655697,"postcentral","L"
"aparc_SurfArea_lh_posteriorcingulate",0.00283114901250936,0.0311012730186817,"posteriorcingulate","L"
"aparc_SurfArea_lh_precentral",0.00033542519603369,0.193370114271531,"precentral","L"
"aparc_SurfArea_lh_precuneus",0.000277260664686918,0.193370114271531,"precuneus","L"
"aparc_SurfArea_lh_rostralanteriorcingulate",0.00389146445995336,0.000580605387309641,"rostralanteriorcingulate","L"
"aparc_SurfArea_lh_rostralmiddlefrontal",0.00377486673547256,1.58237636642466e-05,"rostralmiddlefrontal","L"
"aparc_SurfArea_lh_superiorfrontal",0.00576293856089249,0,"superiorfrontal","L"
"aparc_SurfArea_lh_superiorparietal",0.000770134397561018,0.0674638001558884,"superiorparietal","L"
"aparc_SurfArea_lh_superiortemporal",-0.000136078115506866,0.697928500655697,"superiortemporal","L"
"aparc_SurfArea_lh_supramarginal",0.00141740070317287,0.146169168881567,"supramarginal","L"
"aparc_SurfArea_lh_temporalpole",0.00437747688274359,0.000489083432519329,"temporalpole","L"
"aparc_SurfArea_lh_transversetemporal",0.000497586417707252,0.10999413954942,"transversetemporal","L"
"aparc_SurfArea_rh_bankssts",0.00923555794635622,0,"bankssts","R"
"aparc_SurfArea_rh_caudalanteriorcingulate",0.000106462637271876,0.99555236753119,"caudalanteriorcingulate","R"
"aparc_SurfArea_rh_caudalmiddlefrontal",0.000559760834087042,0.445107959719372,"caudalmiddlefrontal","R"
"aparc_SurfArea_rh_cuneus",5.74239756100381e-05,0.494033482741217,"cuneus","R"
"aparc_SurfArea_rh_entorhinal",0.00203638976356468,0.0730335488745712,"entorhinal","R"
"aparc_SurfArea_rh_frontalpole",0.000508363896978614,0.115560674170014,"frontalpole","R"
"aparc_SurfArea_rh_fusiform",0.00302129862821976,0.00114898802086809,"fusiform","R"
"aparc_SurfArea_rh_inferiorparietal",0.00329172334275507,8.16094256963154e-05,"inferiorparietal","R"
"aparc_SurfArea_rh_inferiortemporal",0.00776188726051386,7.08044812047781e-06,"inferiortemporal","R"
"aparc_SurfArea_rh_insula",0.00344359292161844,0.000663776178710429,"insula","R"
"aparc_SurfArea_rh_isthmuscingulate",0.00276556729154298,0.00681854518730053,"isthmuscingulate","R"
"aparc_SurfArea_rh_lateraloccipital",0.000516582160882129,0.494033482741217,"lateraloccipital","R"
"aparc_SurfArea_rh_lateralorbitofrontal",0.00176144195358718,0.0375746822412901,"lateralorbitofrontal","R"
"aparc_SurfArea_rh_lingual",0.00180119118380728,0.161483603831299,"lingual","R"
"aparc_SurfArea_rh_medialorbitofrontal",0.0018916299777636,0.0768180662231254,"medialorbitofrontal","R"
"aparc_SurfArea_rh_middletemporal",0.0111435664615529,0,"middletemporal","R"
"aparc_SurfArea_rh_paracentral",0.00262082231165628,0.000842617762258792,"paracentral","R"
"aparc_SurfArea_rh_parahippocampal",0.00208812233640643,0.0311012730186817,"parahippocampal","R"
"aparc_SurfArea_rh_parsopercularis",0.00164643887758165,0.0689503763788484,"parsopercularis","R"
"aparc_SurfArea_rh_parsorbitalis",0.000974359017340332,0.196088045846402,"parsorbitalis","R"
"aparc_SurfArea_rh_parstriangularis",0.0042417708148893,0.000802113946874583,"parstriangularis","R"
"aparc_SurfArea_rh_pericalcarine",0.00876125138694883,0,"pericalcarine","R"
"aparc_SurfArea_rh_postcentral",0.00059917932490261,0.193370114271531,"postcentral","R"
"aparc_SurfArea_rh_posteriorcingulate",0.000269860863955418,0.294247899575743,"posteriorcingulate","R"
"aparc_SurfArea_rh_precentral",0.00143322429901804,0.0104557124652033,"precentral","R"
"aparc_SurfArea_rh_precuneus",0.0013146085722533,0.00863895470323354,"precuneus","R"
"aparc_SurfArea_rh_rostralanteriorcingulate",0.00227630807751611,0.0055345402964837,"rostralanteriorcingulate","R"
"aparc_SurfArea_rh_rostralmiddlefrontal",0.00327631123121941,6.68098501144798e-05,"rostralmiddlefrontal","R"
"aparc_SurfArea_rh_superiorfrontal",0.00806522184713987,0,"superiorfrontal","R"
"aparc_SurfArea_rh_superiorparietal",0.00500414515159886,6.68098501144798e-05,"superiorparietal","R"
"aparc_SurfArea_rh_superiortemporal",0.000178010247447791,0.326260369796061,"superiortemporal","R"
"aparc_SurfArea_rh_supramarginal",0.00381081962358631,0.000663776178710429,"supramarginal","R"
"aparc_SurfArea_rh_temporalpole",0.00627849128382851,9.46298382901009e-06,"temporalpole","R"
"aparc_SurfArea_rh_transversetemporal",0.00180418671789628,0.00363843445945392,"transversetemporal","R"
