"phenotype","signed_partial_r2","full_p_adj","label","hemisphere"
"aparc_ThickAvg_lh_bankssts",0.00315156558440854,0.0561764733981045,"bankssts","L"
"aparc_ThickAvg_lh_caudalanteriorcingulate",0.000827552811835663,0.254958393596806,"caudalanteriorcingulate","L"
"aparc_ThickAvg_lh_caudalmiddlefrontal",0.00332682281901453,0.090259584760342,"caudalmiddlefrontal","L"
"aparc_ThickAvg_lh_cuneus",-0.00403563832448472,0.0235566694188054,"cuneus","L"
"aparc_ThickAvg_lh_entorhinal",-0.00546663836704664,0.0143088157837458,"entorhinal","L"
"aparc_ThickAvg_lh_frontalpole",-0.000533581298909236,0.689870855174194,"frontalpole","L"
"aparc_ThickAvg_lh_fusiform",0.00041137437531602,0.715342266774897,"fusiform","L"
"aparc_ThickAvg_lh_inferiorparietal",0.00497418583922804,0.0259465568519941,"inferiorparietal","L"
"aparc_ThickAvg_lh_inferiortemporal",-1.75719045389933e-05,0.835354727081353,"inferiortemporal","L"
"aparc_ThickAvg_lh_insula",0.00320128809033415,0.00527560372728399,"insula","L"
"aparc_ThickAvg_lh_isthmuscingulate",0.000392223810769088,0.629647552033616,"isthmuscingulate","L"
"aparc_ThickAvg_lh_lateraloccipital",-0.00473539660813449,0.00715733939743914,"lateraloccipital","L"
"aparc_ThickAvg_lh_lateralorbitofrontal",0.000313915652757957,0.40152099343364,"lateralorbitofrontal","L"
"aparc_ThickAvg_lh_lingual",-0.00738236239232648,0.000594130110814839,"lingual","L"
"aparc_ThickAvg_lh_medialorbitofrontal",-0.00781593317306928,0.000201615313021245,"medialorbitofrontal","L"
"aparc_ThickAvg_lh_middletemporal",0.0180968617492377,0,"middletemporal","L"
"aparc_ThickAvg_lh_paracentral",0.00133817097397837,0.0611512591391102,"paracentral","L"
"aparc_ThickAvg_lh_parahippocampal",-0.00351705855766993,0.0350645258811274,"parahippocampal","L"
"aparc_ThickAvg_lh_parsopercularis",-5.93978833181019e-05,0.879038175822414,"parsopercularis","L"
"aparc_ThickAvg_lh_parsorbitalis",0.000893196497032567,0.149592321559265,"parsorbitalis","L"
"aparc_ThickAvg_lh_parstriangularis",2.81386320251098e-05,0.825670184263187,"parstriangularis","L"
"aparc_ThickAvg_lh_pericalcarine",-0.00734387710653606,0.00111430178439424,"pericalcarine","L"
