"phenotype","signed_partial_r2","full_p_adj","label","hemisphere"
"aparc_GrayVol_lh_bankssts",0.00259694865324234,0.000210971598198988,"bankssts","L"
"aparc_GrayVol_lh_caudalanteriorcingulate",0.000567598766877064,0.492469367804064,"caudalanteriorcingulate","L"
"aparc_GrayVol_lh_caudalmiddlefrontal",0.00118175815239618,0.110904651305064,"caudalmiddlefrontal","L"
"aparc_GrayVol_lh_cuneus",5.22603956470968e-05,0.633770450447917,"cuneus","L"
"aparc_GrayVol_lh_entorhinal",-0.000765869460048751,0.36328227856157,"entorhinal","L"
"aparc_GrayVol_lh_frontalpole",-0.000834744897371009,0.368271761289525,"frontalpole","L"
"aparc_GrayVol_lh_fusiform",0.0090564424117473,0,"fusiform","L"
"aparc_GrayVol_lh_inferiorparietal",0.00957776326397919,0,"inferiorparietal","L"
"aparc_GrayVol_lh_inferiortemporal",-0.00467302442033124,0.000581997016742899,"inferiortemporal","L"
"aparc_GrayVol_lh_insula",0.00780182261136531,0,"insula","L"
"aparc_GrayVol_lh_isthmuscingulate",0.00274433749413139,0.000304328409622972,"isthmuscingulate","L"
"aparc_GrayVol_lh_lateraloccipital",-0.00132074539182681,0.233180645043851,"lateraloccipital","L"
"aparc_GrayVol_lh_lateralorbitofrontal",0.00893303975290971,0,"lateralorbitofrontal","L"
"aparc_GrayVol_lh_lingual",0.000487207997592165,0.450550643622645,"lingual","L"
"aparc_GrayVol_lh_medialorbitofrontal",3.72061169808813e-05,0.874440067839872,"medialorbitofrontal","L"
"aparc_GrayVol_lh_middletemporal",0.0128965007362715,0,"middletemporal","L"
"aparc_GrayVol_lh_paracentral",0.00046882958765182,0.156192360707605,"paracentral","L"
"aparc_GrayVol_lh_parahippocampal",-7.8520594203213e-05,0.620683386238681,"parahippocampal","L"
"aparc_GrayVol_lh_parsopercularis",0.000898743742596575,0.160218444430558,"parsopercularis","L"
"aparc_GrayVol_lh_parsorbitalis",0.0087407842211088,0,"parsorbitalis","L"
