"phenotype","signed_partial_r2","full_p_adj","label","hemisphere"
"aparc_SurfArea_lh_bankssts",-0.00477755161636062,0.256084979876457,"bankssts","L"
"aparc_SurfArea_lh_caudalanteriorcingulate",-0.0088444848555046,0.136247820989476,"caudalanteriorcingulate","L"
"aparc_SurfArea_lh_caudalmiddlefrontal",-0.00362743413673927,0.416439694489346,"caudalmiddlefrontal","L"
"aparc_SurfArea_lh_cuneus",0.021182964527919,0.0820162312429758,"cuneus","L"
"aparc_SurfArea_lh_entorhinal",-0.0104154180890593,0.128646141046266,"entorhinal","L"
"aparc_SurfArea_lh_frontalpole",-0.0173721821103132,0.207446464069841,"frontalpole","L"
"aparc_SurfArea_lh_fusiform",0.0214512787311394,0.0351817819082921,"fusiform","L"
"aparc_SurfArea_lh_inferiorparietal",0.00854190231840424,0.136247820989476,"inferiorparietal","L"
"aparc_SurfArea_lh_inferiortemporal",0.00114283643756252,0.552591144914641,"inferiortemporal","L"
"aparc_SurfArea_lh_insula",0.000490045191049893,0.705601536243144,"insula","L"
"aparc_SurfArea_lh_isthmuscingulate",0.0118281487235048,0.33070558987185,"isthmuscingulate","L"
"aparc_SurfArea_lh_lateraloccipital",0.0207611805785572,0.207976902315814,"lateraloccipital","L"
"aparc_SurfArea_lh_lateralorbitofrontal",-0.0137567101629578,0.136247820989476,"lateralorbitofrontal","L"
"aparc_SurfArea_lh_lingual",0.0105635124425024,0.136247820989476,"lingual","L"
"aparc_SurfArea_lh_medialorbitofrontal",-0.0252111739368071,0.134225759602042,"medialorbitofrontal","L"
"aparc_SurfArea_lh_middletemporal",0.00156450433816335,0.486664596701485,"middletemporal","L"
"aparc_SurfArea_lh_paracentral",-0.00359591844396911,0.33070558987185,"paracentral","L"
"aparc_SurfArea_lh_parahippocampal",-0.000150399950888502,0.834680491303853,"parahippocampal","L"
"aparc_SurfArea_lh_parsopercularis",-0.0101557573554573,0.272298714314816,"parsopercularis","L"
"aparc_SurfArea_lh_parsorbitalis",0.00161341572089158,0.486664596701485,"parsorbitalis","L"
"aparc_SurfArea_lh_parstriangularis",0.00483365057218721,0.256084979876457,"parstriangularis","L"
"aparc_SurfArea_lh_pericalcarine",0.00948243699188034,0.134225759602042,"pericalcarine","L"
"aparc_SurfArea_lh_postcentral",7.12657166507258e-05,0.886226968265164,"postcentral","L"
"aparc_SurfArea_lh_posteriorcingulate",-0.002155025689074,0.433339557736319,"posteriorcingulate","L"
"aparc_SurfArea_lh_precentral",-0.0105400035121971,0.128646141046266,"precentral","L"
"aparc_SurfArea_lh_precuneus",0.0215862618033683,0.0351817819082921,"precuneus","L"
"aparc_SurfArea_lh_rostralanteriorcingulate",-0.0303744493337107,0.0921009767773715,"rostralanteriorcingulate","L"
"aparc_SurfArea_lh_rostralmiddlefrontal",-0.00794525867793339,0.364014976356062,"rostralmiddlefrontal","L"
"aparc_SurfArea_lh_superiorfrontal",-0.0254390526724962,0.0435208409191149,"superiorfrontal","L"
"aparc_SurfArea_lh_superiorparietal",0.0230092461544867,0.0820162312429758,"superiorparietal","L"
"aparc_SurfArea_lh_superiortemporal",0.00492464045966012,0.42157099960551,"superiortemporal","L"
"aparc_SurfArea_lh_supramarginal",0.00396455475375923,0.303424542180735,"supramarginal","L"
"aparc_SurfArea_lh_temporalpole",0.0170386959230737,0.238082635447602,"temporalpole","L"
"aparc_SurfArea_lh_transversetemporal",0.00159232845971335,0.486664596701485,"transversetemporal","L"
"aparc_SurfArea_rh_bankssts",0.0253783734603948,0.207446464069841,"bankssts","R"
"aparc_SurfArea_rh_caudalanteriorcingulate",-0.0027901546033362,0.373238447037742,"caudalanteriorcingulate","R"
"aparc_SurfArea_rh_caudalmiddlefrontal",-0.0086090842492127,0.136247820989476,"caudalmiddlefrontal","R"
"aparc_SurfArea_rh_cuneus",0.00660957270758211,0.464938168805557,"cuneus","R"
"aparc_SurfArea_rh_entorhinal",-0.00161068746302839,0.486664596701485,"entorhinal","R"
"aparc_SurfArea_rh_frontalpole",-0.019961932448594,0.256084979876457,"frontalpole","R"
"aparc_SurfArea_rh_fusiform",0.00930168961654299,0.134225759602042,"fusiform","R"
"aparc_SurfArea_rh_inferiorparietal",0.0161907576624347,0.0820162312429758,"inferiorparietal","R"
"aparc_SurfArea_rh_inferiortemporal",-2.32134636402037e-07,0.996536232252867,"inferiortemporal","R"
"aparc_SurfArea_rh_insula",-0.001329147544059,0.522641215959242,"insula","R"
"aparc_SurfArea_rh_isthmuscingulate",0.0250363098171779,0.0809486084652058,"isthmuscingulate","R"
"aparc_SurfArea_rh_lateraloccipital",0.0172320543078806,0.0565523681433572,"lateraloccipital","R"
"aparc_SurfArea_rh_lateralorbitofrontal",-0.0130789255311049,0.0820162312429758,"lateralorbitofrontal","R"
"aparc_SurfArea_rh_lingual",0.0112737891429676,0.345313073791747,"lingual","R"
"aparc_SurfArea_rh_medialorbitofrontal",-0.0376062404230809,0.0435208409191149,"medialorbitofrontal","R"
"aparc_SurfArea_rh_middletemporal",0.00621529446518343,0.207446464069841,"middletemporal","R"
"aparc_SurfArea_rh_paracentral",-0.0134347791133678,0.172006312802371,"paracentral","R"
"aparc_SurfArea_rh_parahippocampal",2.02139986607008e-05,0.939055688244247,"parahippocampal","R"
"aparc_SurfArea_rh_parsopercularis",-0.00345184655079667,0.33070558987185,"parsopercularis","R"
"aparc_SurfArea_rh_parsorbitalis",-0.0287964683829495,0.128646141046266,"parsorbitalis","R"
"aparc_SurfArea_rh_parstriangularis",0.000735001055273909,0.636114879582508,"parstriangularis","R"
"aparc_SurfArea_rh_pericalcarine",0.00318342456567688,0.345313073791747,"pericalcarine","R"
"aparc_SurfArea_rh_postcentral",-0.00714927169554835,0.179255570650331,"postcentral","R"
"aparc_SurfArea_rh_posteriorcingulate",0.0201163906013898,0.197265051257713,"posteriorcingulate","R"
"aparc_SurfArea_rh_precentral",-0.0273405588779398,0.0168918492160179,"precentral","R"
"aparc_SurfArea_rh_precuneus",0.0054107397963381,0.233101870405311,"precuneus","R"
"aparc_SurfArea_rh_rostralanteriorcingulate",-0.024487885519885,0.128646141046266,"rostralanteriorcingulate","R"
"aparc_SurfArea_rh_rostralmiddlefrontal",-0.0314507228826721,0.0820162312429758,"rostralmiddlefrontal","R"
"aparc_SurfArea_rh_superiorfrontal",-0.0452858188382581,0.00626881634392906,"superiorfrontal","R"
"aparc_SurfArea_rh_superiorparietal",0.0160780796495664,0.0658458121496626,"superiorparietal","R"
"aparc_SurfArea_rh_superiortemporal",-0.000286350890960962,0.780887603713725,"superiortemporal","R"
"aparc_SurfArea_rh_supramarginal",0.000221901250216372,0.802698625701504,"supramarginal","R"
"aparc_SurfArea_rh_temporalpole",-0.0168534685429177,0.207976902315814,"temporalpole","R"
