"phenotype","r2_full_vs_none","full_p_adj","label","hemisphere"
"aparc_ThickAvg_lh_bankssts",0.000330493126792786,0.849427510019912,"bankssts","L"
"aparc_ThickAvg_lh_caudalanteriorcingulate",0.000711825079690365,0.811149008047587,"caudalanteriorcingulate","L"
"aparc_ThickAvg_lh_caudalmiddlefrontal",0.00705797659029606,0.495753532191824,"caudalmiddlefrontal","L"
"aparc_ThickAvg_lh_cuneus",0.0332539791491232,0.271817695002012,"cuneus","L"
"aparc_ThickAvg_lh_entorhinal",0.00476768180343345,0.811149008047587,"entorhinal","L"
"aparc_ThickAvg_lh_frontalpole",0.0196634305961413,0.547805216126625,"frontalpole","L"
"aparc_ThickAvg_lh_fusiform",0.000334443808374774,0.849427510019912,"fusiform","L"
"aparc_ThickAvg_lh_inferiorparietal",0.0020047568890823,0.711406001915973,"inferiorparietal","L"
"aparc_ThickAvg_lh_inferiortemporal",0.0301761943966742,0.434848839391436,"inferiortemporal","L"
"aparc_ThickAvg_lh_insula",7.27481128286467e-05,0.92173372151404,"insula","L"
"aparc_ThickAvg_lh_isthmuscingulate",4.99048903542798e-05,0.928738973219489,"isthmuscingulate","L"
"aparc_ThickAvg_lh_lateraloccipital",0.033084884626027,0.0784297033494711,"lateraloccipital","L"
"aparc_ThickAvg_lh_lateralorbitofrontal",0.013765131404078,0.614762355942896,"lateralorbitofrontal","L"
"aparc_ThickAvg_lh_lingual",0.0104259069119672,0.408886382760298,"lingual","L"
"aparc_ThickAvg_lh_medialorbitofrontal",0.00147935660028164,0.742849504717641,"medialorbitofrontal","L"
"aparc_ThickAvg_lh_middletemporal",0.000807784782337895,0.811149008047587,"middletemporal","L"
"aparc_ThickAvg_lh_paracentral",0.00491727799220187,0.547805216126625,"paracentral","L"
"aparc_ThickAvg_lh_parahippocampal",0.000341803717935463,0.849427510019912,"parahippocampal","L"
"aparc_ThickAvg_lh_parsopercularis",0.00919292459707988,0.434848839391436,"parsopercularis","L"
"aparc_ThickAvg_lh_parsorbitalis",0.0013886603893476,0.90232817154763,"parsorbitalis","L"
"aparc_ThickAvg_lh_parstriangularis",0.0122698097613707,0.502801726911713,"parstriangularis","L"
"aparc_ThickAvg_lh_pericalcarine",0.0357310438237936,0.0274478551458445,"pericalcarine","L"
"aparc_ThickAvg_lh_postcentral",0.00460945160969284,0.564877617612087,"postcentral","L"
"aparc_ThickAvg_lh_posteriorcingulate",0.0152525125093256,0.502801726911713,"posteriorcingulate","L"
"aparc_ThickAvg_lh_precentral",0.00590068611284167,0.811149008047587,"precentral","L"
"aparc_ThickAvg_lh_precuneus",0.0061473240416432,0.502801726911713,"precuneus","L"
"aparc_ThickAvg_lh_rostralanteriorcingulate",0.00764370450379959,0.614762355942896,"rostralanteriorcingulate","L"
"aparc_ThickAvg_lh_rostralmiddlefrontal",0.0141566533626016,0.271817695002012,"rostralmiddlefrontal","L"
"aparc_ThickAvg_lh_superiorfrontal",0.0544513880632868,0.0766382810031665,"superiorfrontal","L"
"aparc_ThickAvg_lh_superiorparietal",0.0085212072879578,0.735273520867965,"superiorparietal","L"
"aparc_ThickAvg_lh_superiortemporal",0.0143860864351009,0.271817695002012,"superiortemporal","L"
"aparc_ThickAvg_lh_supramarginal",0.00193657969421202,0.711406001915973,"supramarginal","L"
"aparc_ThickAvg_lh_temporalpole",0.00131870590755967,0.757477791789137,"temporalpole","L"
"aparc_ThickAvg_lh_transversetemporal",0.0127705709249019,0.614762355942896,"transversetemporal","L"
"aparc_ThickAvg_rh_bankssts",0.00262091039881496,0.659103278427727,"bankssts","R"
"aparc_ThickAvg_rh_caudalanteriorcingulate",0.00676421815019057,0.495753532191824,"caudalanteriorcingulate","R"
"aparc_ThickAvg_rh_caudalmiddlefrontal",0.000785768457302272,0.811149008047587,"caudalmiddlefrontal","R"
"aparc_ThickAvg_rh_cuneus",0.0508939022889733,0.287043568013431,"cuneus","R"
"aparc_ThickAvg_rh_entorhinal",0.000403177304360458,0.849427510019912,"entorhinal","R"
"aparc_ThickAvg_rh_frontalpole",0.00267581874839296,0.659103278427727,"frontalpole","R"
"aparc_ThickAvg_rh_fusiform",0.00659454811922555,0.495753532191824,"fusiform","R"
"aparc_ThickAvg_rh_inferiorparietal",0.0108212646487705,0.742849504717641,"inferiorparietal","R"
"aparc_ThickAvg_rh_inferiortemporal",0.0109853204243431,0.675701475178715,"inferiortemporal","R"
"aparc_ThickAvg_rh_insula",0.000260123735663531,0.861765408688027,"insula","R"
"aparc_ThickAvg_rh_isthmuscingulate",0.00320431513011266,0.614762355942896,"isthmuscingulate","R"
"aparc_ThickAvg_rh_lateraloccipital",0.0318888908918823,0.271817695002012,"lateraloccipital","R"
"aparc_ThickAvg_rh_lateralorbitofrontal",0.00647250511966335,0.502801726911713,"lateralorbitofrontal","R"
"aparc_ThickAvg_rh_lingual",0.0157600686413644,0.495753532191824,"lingual","R"
"aparc_ThickAvg_rh_medialorbitofrontal",0.000665662619982355,0.811149008047587,"medialorbitofrontal","R"
"aparc_ThickAvg_rh_middletemporal",0.00530129056339668,0.697289771590161,"middletemporal","R"
"aparc_ThickAvg_rh_paracentral",0.00313743605911188,0.735273520867965,"paracentral","R"
"aparc_ThickAvg_rh_parahippocampal",0.0341122692161898,0.614762355942896,"parahippocampal","R"
"aparc_ThickAvg_rh_parsopercularis",0.0031292261692264,0.614762355942896,"parsopercularis","R"
"aparc_ThickAvg_rh_parsorbitalis",0.000239716844573024,0.861765408688027,"parsorbitalis","R"
"aparc_ThickAvg_rh_parstriangularis",5.70273806510535e-07,0.996608958646104,"parstriangularis","R"
"aparc_ThickAvg_rh_pericalcarine",0.0193542363109223,0.434848839391436,"pericalcarine","R"
"aparc_ThickAvg_rh_postcentral",0.0208413272883069,0.495753532191824,"postcentral","R"
"aparc_ThickAvg_rh_posteriorcingulate",0.00208866919631534,0.881254094879802,"posteriorcingulate","R"
"aparc_ThickAvg_rh_precentral",0.00497113267586546,0.833524623911306,"precentral","R"
"aparc_ThickAvg_rh_precuneus",0.013286170987613,0.614762355942896,"precuneus","R"
"aparc_ThickAvg_rh_rostralanteriorcingulate",0.00510684589313271,0.811149008047587,"rostralanteriorcingulate","R"
"aparc_ThickAvg_rh_rostralmiddlefrontal",0.00783738869603046,0.495753532191824,"rostralmiddlefrontal","R"
"aparc_ThickAvg_rh_superiorfrontal",0.0739841780912884,0.0176168398478451,"superiorfrontal","R"
"aparc_ThickAvg_rh_superiorparietal",0.00618253982226413,0.759762858172613,"superiorparietal","R"
"aparc_ThickAvg_rh_superiortemporal",0.0170591017129317,0.372714302856461,"superiortemporal","R"
"aparc_ThickAvg_rh_supramarginal",0.00427601945469824,0.586795037347719,"supramarginal","R"
"aparc_ThickAvg_rh_temporalpole",2.76459091134162e-05,0.94177538504868,"temporalpole","R"
"aparc_ThickAvg_rh_transversetemporal",0.0246008543218474,0.271817695002012,"transversetemporal","R"
