"phenotype","r2_full_vs_none","full_p_adj","label","hemisphere"
"aparc_GrayVol_lh_bankssts",0.00423336609730807,0.253404806845653,"bankssts","L"
"aparc_GrayVol_lh_caudalanteriorcingulate",0.00159773825846821,0.447453724712404,"caudalanteriorcingulate","L"
"aparc_GrayVol_lh_caudalmiddlefrontal",0.00208149396269286,0.394034410736211,"caudalmiddlefrontal","L"
"aparc_GrayVol_lh_cuneus",0.0165356757524545,0.144346990922325,"cuneus","L"
"aparc_GrayVol_lh_entorhinal",0.0124050115109582,0.0559257154750421,"entorhinal","L"
"aparc_GrayVol_lh_frontalpole",0.0083040621679733,0.321080304685234,"frontalpole","L"
"aparc_GrayVol_lh_fusiform",0.0344597665043008,0.00321455887526614,"fusiform","L"
"aparc_GrayVol_lh_inferiorparietal",0.031140034169966,0.0146940968471061,"inferiorparietal","L"
"aparc_GrayVol_lh_inferiortemporal",0.0122050797916156,0.388636000168654,"inferiortemporal","L"
"aparc_GrayVol_lh_insula",0.0253493456483835,0.039432551628218,"insula","L"
"aparc_GrayVol_lh_isthmuscingulate",0.0193647035364144,0.0866271611472056,"isthmuscingulate","L"
"aparc_GrayVol_lh_lateraloccipital",0.019311260623636,0.220446303596095,"lateraloccipital","L"
"aparc_GrayVol_lh_lateralorbitofrontal",0.0153743416712698,0.232861216842798,"lateralorbitofrontal","L"
"aparc_GrayVol_lh_lingual",0.0142005367605709,0.0337649823149538,"lingual","L"
"aparc_GrayVol_lh_medialorbitofrontal",0.00655206348795567,0.151355791144113,"medialorbitofrontal","L"
"aparc_GrayVol_lh_middletemporal",0.0220607995829585,0.0697032003026605,"middletemporal","L"
"aparc_GrayVol_lh_paracentral",1.25370589580953e-05,0.950778657943346,"paracentral","L"
"aparc_GrayVol_lh_parahippocampal",0.000775149518238649,0.602209772294337,"parahippocampal","L"
"aparc_GrayVol_lh_parsopercularis",0.0276926297804907,0.0719028759647392,"parsopercularis","L"
"aparc_GrayVol_lh_parsorbitalis",0.0254302405966612,0.0506082853767368,"parsorbitalis","L"
"aparc_GrayVol_lh_parstriangularis",0.0226954022576696,0.00664326390608583,"parstriangularis","L"
"aparc_GrayVol_lh_pericalcarine",0.00524039245151176,0.206565515668056,"pericalcarine","L"
"aparc_GrayVol_lh_postcentral",0.010171879842379,0.0719028759647392,"postcentral","L"
"aparc_GrayVol_lh_posteriorcingulate",0.00340006656840774,0.303318608495269,"posteriorcingulate","L"
"aparc_GrayVol_lh_precentral",0.0117627036891745,0.381459822009778,"precentral","L"
"aparc_GrayVol_lh_precuneus",0.0524972376080167,0.000576589188433864,"precuneus","L"
"aparc_GrayVol_lh_rostralanteriorcingulate",0.00448940926439612,0.238556704918828,"rostralanteriorcingulate","L"
"aparc_GrayVol_lh_rostralmiddlefrontal",0.010489912689455,0.151355791144113,"rostralmiddlefrontal","L"
"aparc_GrayVol_lh_superiorfrontal",0.0108451983896415,0.352543167437618,"superiorfrontal","L"
"aparc_GrayVol_lh_superiorparietal",0.0366558148193958,0.00750612386078203,"superiorparietal","L"
"aparc_GrayVol_lh_superiortemporal",0.0128107157924948,0.303318608495269,"superiortemporal","L"
"aparc_GrayVol_lh_supramarginal",0.0202126895144783,0.0100992870474518,"supramarginal","L"
"aparc_GrayVol_lh_temporalpole",0.00469908802963204,0.231377369704362,"temporalpole","L"
"aparc_GrayVol_lh_transversetemporal",0.00682141509660572,0.49363846965519,"transversetemporal","L"
"aparc_GrayVol_rh_bankssts",0.0187636289019835,0.288172761151145,"bankssts","R"
"aparc_GrayVol_rh_caudalanteriorcingulate",0.00026420855545084,0.764220473728136,"caudalanteriorcingulate","R"
"aparc_GrayVol_rh_caudalmiddlefrontal",0.000159485532039705,0.807672920102162,"caudalmiddlefrontal","R"
"aparc_GrayVol_rh_cuneus",0.00816866821993101,0.108837286438406,"cuneus","R"
"aparc_GrayVol_rh_entorhinal",0.00917871677469762,0.0866271611472056,"entorhinal","R"
"aparc_GrayVol_rh_frontalpole",0.0170807016967317,0.0203631573902528,"frontalpole","R"
"aparc_GrayVol_rh_fusiform",0.0186666832355482,0.0932026723740144,"fusiform","R"
"aparc_GrayVol_rh_inferiorparietal",0.0446105424047581,0.00419679739080062,"inferiorparietal","R"
"aparc_GrayVol_rh_inferiortemporal",0.011531911889051,0.394034410736211,"inferiortemporal","R"
"aparc_GrayVol_rh_insula",0.0210411165117227,0.154339012058607,"insula","R"
"aparc_GrayVol_rh_isthmuscingulate",0.0392021994502124,0.00772007543620145,"isthmuscingulate","R"
"aparc_GrayVol_rh_lateraloccipital",0.0128834901163321,0.0435053846137804,"lateraloccipital","R"
"aparc_GrayVol_rh_lateralorbitofrontal",0.0106057966548101,0.409736832962195,"lateralorbitofrontal","R"
"aparc_GrayVol_rh_lingual",0.0106532715539476,0.350453660597236,"lingual","R"
"aparc_GrayVol_rh_medialorbitofrontal",0.00205077414813448,0.394034410736211,"medialorbitofrontal","R"
"aparc_GrayVol_rh_middletemporal",0.0456557122561181,0.00224577701920282,"middletemporal","R"
"aparc_GrayVol_rh_paracentral",0.0101080595526526,0.378434096074334,"paracentral","R"
"aparc_GrayVol_rh_parahippocampal",0.0125049750675174,0.445080691931761,"parahippocampal","R"
"aparc_GrayVol_rh_parsopercularis",0.0144339176487103,0.303318608495269,"parsopercularis","R"
