"label","hemi","map","value","rank","mapname"
"bankssts","left","AllometricScaling.PNC20mm",1.11599576473236,58,"Allometric Scaling"
"bankssts","left","BigBrain.Histology",0.112701445817947,49,"Externopyramidization"
"bankssts","left","CBF",67.00634765625,54,"Cerebral Blood Flow"
"bankssts","left","Cortical.Thickness",2.76094603538513,42,"Cortical Thickness"
"bankssts","left","PC1.AHBA",0.10757102817297,36,"Gene Expression"
"bankssts","left","PC1.Neurosynth",-0.00111302034929395,24,"Neurosynth"
"bankssts","left","PET.AG",-0.2596655189991,19,"Aerobic Glycosis"
"bankssts","left","T1T2ratio",1.33778071403503,46,"Anatomical Hierarchy"
"bankssts","left","SensorimotorAssociation_Axis",33621.5625,35,"Sensorimotor-Association Axis"
"bankssts","left","G1.fMRI_1",0.837970554828644,35,"Functional Hierarchy"
"bankssts","left","Evolution.Expansion",1.35968387126923,60,"Evolutionary Expansion"
"caudalmiddlefrontal","left","AllometricScaling.PNC20mm",1.17034423351288,67,"Allometric Scaling"
"caudalmiddlefrontal","left","BigBrain.Histology",0.118692420423031,50,"Externopyramidization"
"caudalmiddlefrontal","left","CBF",69.7216491699219,59,"Cerebral Blood Flow"
"caudalmiddlefrontal","left","Cortical.Thickness",2.73080205917358,39,"Cortical Thickness"
"caudalmiddlefrontal","left","PC1.AHBA",0.135710537433624,38,"Gene Expression"
"caudalmiddlefrontal","left","PC1.Neurosynth",-0.00011867569264723,33,"Neurosynth"
"caudalmiddlefrontal","left","PET.AG",0.660983920097351,68,"Aerobic Glycosis"
"caudalmiddlefrontal","left","T1T2ratio",1.2948579788208,35,"Anatomical Hierarchy"
"caudalmiddlefrontal","left","SensorimotorAssociation_Axis",48653.6171875,57,"Sensorimotor-Association Axis"
"caudalmiddlefrontal","left","G1.fMRI_1",4.7012095451355,61,"Functional Hierarchy"
"caudalmiddlefrontal","left","Evolution.Expansion",1.19641101360321,54,"Evolutionary Expansion"
"fusiform","left","AllometricScaling.PNC20mm",0.904782176017761,19,"Allometric Scaling"
"fusiform","left","BigBrain.Histology",-0.144627675414085,15,"Externopyramidization"
